Province/State,Longitude,Latitude
Alabama,-86.9023,32.3182
Alaska,-152.4044,61.3707
Arizona,-111.4312,33.7298
Arkansas,-92.3731,34.9697
California,-119.6816,36.1162
Colorado,-105.3111,39.0598
Connecticut,-72.7554,41.5978
Delaware,-75.5071,39.3185
Diamond Princess,139.638,35.4437
District of Columbia,-77.0268,38.8974
Florida,-81.6868,27.7663
Georgia,-83.6431,33.0406
Grand Princess,-122.6655,37.6489
Guam,144.7937,13.4443
Hawaii,-157.4983,21.0943
Idaho,-114.4788,44.2405
Illinois,-88.9861,40.3495
Indiana,-86.2583,39.8494
Iowa,-93.2105,42.0115
Kansas,-96.7265,38.5266
Kentucky,-84.6701,37.6681
Louisiana,-91.8678,31.1695
Maine,-69.3819,44.6939
Maryland,-76.8021,39.0639
Massachusetts,-71.5301,42.2302
Michigan,-84.5361,43.3266
Minnesota,-93.9002,45.6945
Mississippi,-89.6787,32.7416
Missouri,-92.2884,38.4561
Montana,-110.4544,46.9219
Nebraska,-98.2681,41.1254
Nevada,-117.0554,38.3135
New Hampshire,-71.5639,43.4525
New Jersey,-74.521,40.2989
New Mexico,-106.2485,34.8405
New York,-74.9481,42.1657
North Carolina,-79.8064,35.6301
North Dakota,-99.784,47.5289
Ohio,-82.7649,40.3888
Oklahoma,-96.9289,35.5653
Oregon,-122.0709,44.572
Pennsylvania,-77.2098,40.5908
Puerto Rico,-66.5901,18.2208
Rhode Island,-71.5118,41.6809
South Carolina,-80.945,33.8569
South Dakota,-99.4388,44.2998
Tennessee,-86.6923,35.7478
Texas,-97.5635,31.0545
US,-95.7129,37.0902
United States Virgin Islands,-64.8963,18.3358
Utah,-111.8624,40.15
Vermont,-72.7107,44.0459
Virginia,-78.17,37.7693
Washington,-121.4905,47.4009
West Virginia,-80.9545,38.4912
Wisconsin,-89.6165,44.2685
Wyoming,-107.3025,42.756
